id,building,room_number,category,name,capacity,available_capacity_pct,academic_period,has_schedule,status,total_courses,total_allocations
1008484,UNKNOWN,1008484,OUTRO,ESPACO_1008484,40,32,2026/2,False,no_schedule,0,0
1008485,UNKNOWN,1008485,OUTRO,ESPACO_1008485,40,32,2026/2,False,no_schedule,0,0
1008486,UNKNOWN,1008486,OUTRO,ESPACO_1008486,40,32,2026/2,False,no_schedule,0,0
1008487,UNKNOWN,1008487,OUTRO,ESPACO_1008487,40,32,2026/2,False,no_schedule,0,0
1008488,UNKNOWN,1008488,OUTRO,ESPACO_1008488,40,32,2026/2,False,no_schedule,0,0
1008489,UNKNOWN,1008489,OUTRO,ESPACO_1008489,40,32,2026/2,False,no_schedule,0,0
1008490,UNKNOWN,1008490,OUTRO,ESPACO_1008490,1,0,2026/2,False,no_schedule,0,0
1008491,UNKNOWN,1008491,OUTRO,ESPACO_1008491,0,0,2026/2,False,no_schedule,0,0
1008492,UNKNOWN,1008492,OUTRO,ESPACO_1008492,4,3,2026/2,False,no_schedule,0,0
1008493,UNKNOWN,1008493,OUTRO,ESPACO_1008493,40,32,2026/2,False,no_schedule,0,0
1008494,UNKNOWN,1008494,OUTRO,ESPACO_1008494,50,40,2026/2,False,no_schedule,0,0
1008495,DMA,001,LABORATORIO,DMA - LABORATORIO ENSINO MATEMATICA - 001,30,24,2026/2,True,active,2,12
1008496,UNKNOWN,1008496,OUTRO,ESPACO_1008496,30,24,2026/2,False,no_schedule,0,0
1008497,UNKNOWN,1008497,OUTRO,ESPACO_1008497,10,8,2026/2,False,no_schedule,0,0
1008498,UNKNOWN,1008498,OUTRO,ESPACO_1008498,10,8,2026/2,False,no_schedule,0,0
1008499,DID 1,002,SALA DE AULA,SALA DE AULA - DID 1 - 002,40,32,2026/2,True,active,28,65
1008500,DID 1,004,SALA DE AULA,SALA DE AULA - DID 1 - 004,40,32,2026/2,True,active,22,59
1008501,DID 1,001,SALA DE AULA,SALA DE AULA - DID 1 - 001,40,32,2026/2,True,active,26,74
1008502,DID 1,006,SALA DE AULA,SALA DE AULA - DID 1 - 006,30,24,2026/2,True,active,19,63
1008503,DID 1,003,SALA DE AULA,SALA DE AULA - DID 1 - 003,40,32,2026/2,True,active,29,77
1008504,DID 1,008,SALA DE AULA,SALA DE AULA - DID 1 - 008,40,32,2026/2,True,active,22,60
1008505,DID 1,005,SALA DE AULA,SALA DE AULA - DID 1 - 005,30,24,2026/2,True,active,25,78
1008506,DID 1,010,SALA DE AULA,SALA DE AULA - DID 1 - 010,30,24,2026/2,True,active,19,50
1008507,DID 1,007,SALA DE AULA,SALA DE AULA - DID 1 - 007,40,32,2026/2,True,active,32,76
